request_id,current_balance,minimum_balance,next_payday,expected_safe,computed_safe,implied_pre_expenses,computed_pre_expenses,difference,major_divergence,notes
request_01,58481.1,18000.0,2024-03-15,25256.0,25256.0,-1.0,9984.89,0.0,NONE,"Capped=True, RecExp=9417.29, ExpDebits=567.60"
request_02,60383889.2,29158400.0,2025-08-15,17229139.2,17171288.69,13996350.0,14054200.51,57850.51,Pre-payday stream misalignment (Diff: 57850.51),"Capped=False, RecExp=12403100.51, ExpDebits=1651100.00"
request_03,5810300.0,2668700.0,2019-09-15,873000.0,1218926.7,2268600.0,1922673.3,-345926.7,Pre-payday stream misalignment (Diff: -345926.70),"Capped=False, RecExp=1827673.30, ExpDebits=95000.00"
request_04,52206950.0,30686600.0,2024-06-15,8401800.0,10283912.77,13118550.0,11236437.22,-1882112.78,Pre-payday stream misalignment (Diff: -1882112.78),"Capped=False, RecExp=9532137.22, ExpDebits=1704300.00"
request_05,46475.1,13100.0,2026-02-04,737.0,0.0,32638.1,37774.68,5136.58,Pre-payday stream misalignment (Diff: 5136.58),"Capped=False, RecExp=37774.68, ExpDebits=0.00"
request_06,1942.4,800.0,2026-01-15,603.3,551.35,539.1,591.05,51.95,FX dated rate / recurring average variance (Diff: 51.95),"Capped=False, RecExp=591.05, ExpDebits=0.00"
request_07,218945.56,93000.0,2024-09-15,87170.56,94224.72,38775.0,31720.84,-7054.16,Pre-payday stream misalignment (Diff: -7054.16),"Capped=False, RecExp=31720.84, ExpDebits=0.00"
request_08,1536.57,800.0,2025-02-15,284.57,270.64,452.0,465.92,13.92,FX dated rate / recurring average variance (Diff: 13.92),"Capped=False, RecExp=465.92, ExpDebits=0.00"
request_09,2231.1,600.0,2026-07-20,166.61,166.61,-1.0,191.86,0.0,NONE,"Capped=True, RecExp=191.86, ExpDebits=0.00"
request_10,750155.0,225400.0,2025-01-04,12700.0,266700.0,512055.0,185893.34,-326161.66,Gig payout (QuickCrew) pending credit reserved vs explicit debit,"Capped=False, RecExp=185893.34, ExpDebits=0.00"
request_11,63531795.0,34140600.0,2025-05-24,12510645.0,11959467.42,16880550.0,17431727.58,551177.58,Pre-payday stream misalignment (Diff: 551177.58),"Capped=False, RecExp=17431727.58, ExpDebits=0.00"
request_12,193089.89,43200.0,2026-07-04,65164.0,65164.0,-1.0,73777.56,0.0,NONE,"Capped=True, RecExp=73777.56, ExpDebits=0.00"
request_13,2789.52,1300.0,2024-03-15,433.4,941.6,1056.12,333.62,-722.5,FX dated rate / recurring average variance (Diff: -722.50),"Capped=False, RecExp=333.62, ExpDebits=0.00"
request_14,3931.74,2200.0,2025-08-15,597.74,586.38,1134.0,1145.36,11.36,FX dated rate / recurring average variance (Diff: 11.36),"Capped=False, RecExp=1145.36, ExpDebits=0.00"
request_15,1770.05,1200.0,2026-01-15,83.05,0.0,487.0,577.22,90.22,FX dated rate / recurring average variance (Diff: 90.22),"Capped=False, RecExp=577.22, ExpDebits=0.00"
request_16,362370.0,122400.0,2023-08-15,122500.0,122500.0,-1.0,0.0,0.0,NONE,"Capped=True, RecExp=0.00, ExpDebits=0.00"
request_17,550379.58,166100.0,2026-03-15,243849.58,180566.37,140430.0,203713.21,63283.21,Pre-payday stream misalignment (Diff: 63283.21),"Capped=False, RecExp=203713.21, ExpDebits=0.00"
request_18,2486.0,1400.0,2026-07-15,462.0,650.79,624.0,435.2,-188.8,FX dated rate / recurring average variance (Diff: -188.80),"Capped=False, RecExp=435.20, ExpDebits=0.00"
request_19,199545.0,92800.0,2024-09-15,28820.0,32574.4,77925.0,74170.6,-3754.4,Pre-payday stream misalignment (Diff: -3754.40),"Capped=False, RecExp=74170.60, ExpDebits=0.00"
request_20,102609.05,64500.0,2026-02-15,5400.0,11834.68,32709.05,26274.37,-6434.68,Pre-payday stream misalignment (Diff: -6434.68),"Capped=False, RecExp=21100.32, ExpDebits=5174.05"
request_21,3911.35,1800.0,2026-04-15,1543.35,1574.4,568.0,459.01,-108.99,FX dated rate / recurring average variance (Diff: -108.99),"Capped=False, RecExp=406.01, ExpDebits=53.00"
request_22,1132.46,500.0,2024-12-15,475.46,458.85,157.0,173.61,16.61,FX dated rate / recurring average variance (Diff: 16.61),"Capped=False, RecExp=130.61, ExpDebits=43.00"
request_23,51957.9,27000.0,2025-05-15,9152.0,10780.2,15805.9,14177.7,-1628.2,Pre-payday stream misalignment (Diff: -1628.20),"Capped=False, RecExp=12624.50, ExpDebits=1553.20"
request_24,85045.0,51000.0,2026-01-15,13420.0,16876.5,20625.0,17168.49,-3456.51,Pre-payday stream misalignment (Diff: -3456.51),"Capped=False, RecExp=15338.49, ExpDebits=1830.00"
request_25,32063050.0,23379100.0,2024-03-15,1425000.0,0.0,7258950.0,8713082.75,1454132.75,Investment event (event_2041) terminal/monthly recurrence misclassification,"Capped=False, RecExp=8713082.75, ExpDebits=0.00"
